"X","Y","id","title","uid","hollow","type","diocese","province","honigmann_page_number","hierokles_section_and_line_numbers","external_references"
"28.956829135300001","41.024650316200002","0","Konstantinoupolis","1","\N","place","\N","\N","12","631,3","BA 52 D2"
"28.247676999999999","41.078496000000001","511414","Eudoxiopolis","4","\N","place","Thrakike","Europe","12","632,1","BA 52 C2"
"27.952973","40.971012999999999","511357","Herakleia","5","\N","place","Thrakike","Europe","12","632,2","BA 52 B3"
"27.352699000000001","41.401740500000002","511185","Arkadioupolis","6","\N","place","Thrakike","Europe","12","632,3","BA 52 A2"
"27.765288999999999","41.572702","511190","Bizye","7","\N","place","Thrakike","Europe","12","632,4","BA 52 B1"
"27.466995000000001","40.907131999999997","511351","Panion","8","\N","place","Thrakike","Europe","12","632,5","BA 52 A3"
"27.280325000000001","40.914313999999997","511347","Ornoi","9","\N","place","Thrakike","Europe","12","632,6","BA 52 A3"
"27.324356999999999","40.750540999999998","511415","Ganos","10","\N","place","Thrakike","Europe","12","633,1","BA 52 A3"
"26.677434999999999","40.417447000000003","501450","Kallipolis","11","\N","place","Thrakike","Europe","12","633,2","BA 51 H4"
"26.2099417674","40.726994052599998","0","Merizos","12","f","place","Thrakike","Europe","12","633,3","TIB Ostthrakien 530"
"26.666547693599998","40.334047171599998","0","Sausadia","14","f","place","Thrakike","Europe","12","633,5","TIB Ostthrakien 630"
"26.834644999999998","40.538708","501352","Aphrodisia","15","\N","place","Thrakike","Europe","12","634,1","BA 51 H3"
"27.107355600000002","40.926940899999998","511153","Apros","16","\N","place","Thrakike","Europe","12","634,2","BA 52 A3"
"26.367552","40.207121000000001","501471","Koila","17","\N","place","Thrakike","Europe","12","634,3","BA 51 G4"
"26.085729000000001","40.724898500000002","501337","Ainos","19","\N","place","Thrakike","Rodope","12","634,5","BA 51 G3"
"25.325278000000001","41.128610999999999","501574","Maximianoupolis","20","\N","place","Thrakike","Rodope","12","634,6","BA 51 E2"
"26.057249500000001","40.858826999999998","501649","Traianoupolis","21","\N","place","Thrakike","Rodope","12","634,7","BA 51 G3"
"25.511426","40.873750999999999","501507","Maroneia","22","\N","place","Thrakike","Rodope","12","634,8","BA 51 F3"
"24.773105000000001","41.079555999999997","501645","Tapeiros","23","\N","place","Thrakike","Rodope","12","634,9","51 D2 Topeiros"
"23.6695220199","41.3352369021","0","Nikopolis","24","\N","place","Thrakike","Rodope","12","635,1","51 B1 Nicopolis ad Nestum"
"24.749473999999999","42.145589000000001","216927","Philippoupolis","27","\N","place","Thrakike","Thrake","12","635,4","BA 22 B6"
"25.624862","42.425402499999997","216731","Beroe","28","\N","place","Thrakike","Thrake","12","635,5","BA 22 C6"
"24.7077165","42.503217999999997","216792","Diokletianoupolis","29","\N","place","Thrakike","Thrake","12","635,6","BA 22 B6"
"26.526177660799998","42.492292903299997","0","Diospolis","31","\N","place","Thrakike","Thrake","13","635,8","BA 22 D6"
"26.562891","41.676459000000001","501428","Adrianoupolis","33","\N","place","Thrakike","Haimimontos","13","635,10","BA 51 H1"
"27.641373999999999","42.555937","216702","Anchialos","34","\N","place","Thrakike","Haimimontos","13","635,11","BA 22 E6"
"26.913865807400001","42.250959780400002","0","Debeltos","35","\N","place","Thrakike","Haimimontos","13","635,12","BA 22 E6; TIB Thrakien 234"
"26.499701999999999","41.358625000000004","501572","Plotinopolis","36","\N","place","Thrakike","Haimimontos","13","635,13","BA 51 G2"
"27.585032999999999","43.22504","216878","Markianoupolis","39","\N","place","Thrakike","Mysia II","13","636,2","BA 22 E5"
"27.91835","43.200246999999997","216904","Odessos","40","\N","place","Thrakike","Mysia II","13","636,3","BA 22 E5"
"27.2606709503","44.116698955399997","0","Dorostolos","41","f","place","Thrakike","Mysia II","13","636,4","BA 22 E4"
"25.612231999999999","43.217925000000001","216895","Nikopolis","42","\N","place","Thrakike","Mysia II","13","636,5","BA 22 C5"
"25.394017999999999","43.607221000000003","216899","Nobai","43","\N","place","Thrakike","Mysia II","13","636,6","BA 22 C5"
"26.245621","43.987675000000003","216707","Appiaria","44","\N","place","Thrakike","Mysia II","13","636,7","BA 22 D5"
"26.523115000000001","43.524974999999998","216688","Abrittos","45","\N","place","Thrakike","Mysia II","13","636,8","BA 22 D5"
"28.661176000000001","44.172488999999999","217016","Tomis","47","\N","place","Thrakike","Skythia","13","637,1","BA 22 F4"
"28.163043999999999","43.409931999999998","216793","Dionysopolis","48","\N","place","Thrakike","Skythia","13","637,2","BA 22 F5"
"28.582750000000001","43.817152","216744","Kallatis","50","\N","place","Thrakike","Skythia","13","637,4","BA 22 F5"
"28.774799999999999","44.547600000000003","216839","Istros","51","\N","place","Thrakike","Skythia","13","637,5","BA 22 F4"
"28.885785871700001","44.687539148600003","0","Constantiana","52","f","place","Thrakike","Skythia","13","637,6","TIR Romula 34"
"27.950014800000002","44.097152149999999","217027","Tropaion","54","\N","place","Thrakike","Skythia","13","637,8","BA 22 E4"
"28.021785000000001","44.331851999999998","216722","Axioupolis","55","\N","place","Thrakike","Skythia","14","637,9","BA 22 F4"
"28.090320999999999","44.493738999999998","216748","Kapidaba","56","\N","place","Thrakike","Skythia","14","637,10","BA 22 F4"
"27.951694","44.6868135","216753","Karsos","57","\N","place","Thrakike","Skythia","14","637,11","BA 22 E4"
"28.1951","45.1432","217025","Trosmis","58","\N","place","Thrakike","Skythia","14","637,12","BA 22 F3"
"28.491914999999999","45.270525999999997","216900","Nobiodounon","59","\N","place","Thrakike","Skythia","14","637,13","BA 22 F3"
"28.806360999999999","45.179780000000001","216694","Aigissos","60","\N","place","Thrakike","Skythia","14","637,14","BA 22 F3"
"29.19792","45.024560999999999","226617","Halmyris","61","\N","place","Thrakike","Skythia","14","637,15","BA 23 C3"
"22.949569","40.630282000000001","491741","Thessalonike","64","\N","place","Illyrikon","Makedonia I","14","638,2","BA 50 C3"
"22.492742499999999","40.770277499999999","491687","Pelle","65","\N","place","Illyrikon","Makedonia I","14","638,3","BA 50 C3"
"22.556736000000001","40.899845999999997","491595","Europos","66","\N","place","Illyrikon","Makedonia I","14","638,4","BA 50 C3"
"22.491299000000001","40.177011999999998","491572","Dion","67","\N","place","Illyrikon","Makedonia I","14","638,5","BA 50 B4"
"22.201492666699998","40.522126666699997","491546","Beroia","68","\N","place","Illyrikon","Makedonia I","14","638,6","BA 50 B3"
"22.042253543299999","40.429790773199997","0","Eordaia","69","\N","place","Illyrikon","Makedonia I","14","638,7","BA 50 A3"
"22.057183999999999","40.797176","491585","Edessa","70","\N","place","Illyrikon","Makedonia I","14","638,8","BA 50 B3"
"25.249064544300001","42.237601390599998","0","Kellai","71","\N","place","Illyrikon","Makedonia I","14","638,9","BA 22 C6 Cillis?"
"21.3685289529","41.021553814500002","0","Herakleia Lynkou","74","\N","place","Illyrikon","Makedonia I","14","639,1","BA 49 D2"
"21.265539931900001","41.078894859000002","0","Nikaia?","77","\N","place","Illyrikon","Makedonia I","14","639,3","BA 49 D2 Nicia"
"22.754283999999998","41.382427999999997","491573","Doberos","78","\N","place","Illyrikon","Makedonia I","14","639,4","BA 50 C2"
"22.498913000000002","41.284255999999999","491586","Idomene","79","\N","place","Illyrikon","Makedonia I","14","639,5","BA 50 B2"
"22.855650665799999","41.008974893100003","0","Bragylos","80","\N","place","Illyrikon","Makedonia I","14","639,6","BA 50 C2 Bragylai"
"23.277847999999999","41.561118999999998","491683","Paroikopolis","82","\N","place","Illyrikon","Makedonia I","14","639,8","BA 50 D1"
"23.3024341273","41.290157782999998","0","Herakleia Strymonos","83","\N","place","Illyrikon","Makedonia I","15","639,9","BA 50 D2"
"23.542452999999998","41.087975","501616","Serrai","84","\N","place","Illyrikon","Makedonia I","15","639,10","BA 51 B2 Sirra"
"24.334510999999999","41.025179999999999","501564","Philippoi","85","\N","place","Illyrikon","Makedonia I","15","640,1","BA 51 C2"
"23.847445","40.820354000000002","501347","Amphipolis","86","\N","place","Illyrikon","Makedonia I","15","640,2","BA 51 B3"
"23.482784708000001","40.647618031599997","0","Apollonia","87","f","place","Illyrikon","Makedonia I","15","640,3","BA 50 D3"
"24.415015","40.935040000000001","501523","Neapolis","88","\N","place","Illyrikon","Makedonia I","15","640,4","BA 51 C3"
"23.880112","40.399749999999997","501339","Akanthos","89","\N","place","Illyrikon","Makedonia I","15","640,5","BA 51 B4"
"23.508247000000001","40.910981999999997","501374","Berge","90","\N","place","Illyrikon","Makedonia I","15","640,6","BA 51 B3"
"23.328898822599999","41.0206576183","0","Aralos","91","\N","place","Illyrikon","Makedonia I","15","640,7","BA 50 D2 Ar(r)olos"
"24.538414","40.968007","501341","Akontisma","93","\N","place","Illyrikon","Makedonia I","15","640,8b","BA 51 D3"
"24.7116209633","40.778546469600002","0","Nesos Thasos","94","\N","place","Illyrikon","Makedonia I","15","640,9","BA 51 D3"
"25.5319472961","40.508264662999999","0","Nesos Samothrake","95","\N","place","Illyrikon","Makedonia I","15","640,10","BA 51 F4"
"21.974974","41.552591","491731","Stoboi","97","\N","place","Illyrikon","Makedonia II","15","641,2","BA 50 A1"
"21.885071","41.581350999999998","491527","Argos","98","\N","place","Illyrikon","Makedonia II","15","641,3","BA 50 A1"
"22.452878607399999","41.629259026900002","0","Aistraion","99","f","place","Illyrikon","Makedonia II","15","641,4","BA 50 B1 Astraia?"
"21.610690999999999","41.313277999999997","481952","Pelagonia","100","\N","place","Illyrikon","Makedonia II","15","641,5","BA 49 D2"
"22.26784","41.800995","491538","Bargala","101","\N","place","Illyrikon","Makedonia II","16","641,6","BA 50 B1"
"22.42097025","39.634850999999998","540905","Larissa","106","\N","place","Illyrikon","Thessalia","16","642,2","BA 55 C1"
"22.9223395","39.343874999999997","540730","Demetrias","107","\N","place","Illyrikon","Thessalia","16","642,3","BA 55 D2"
"22.762343740599999","39.2730303612","541137","Thebai","108","\N","place","Illyrikon","Thessalia","16","642,4","BA 55 D2"
"22.723917","38.893411999999998","540749","Echinos","109","\N","place","Illyrikon","Thessalia","16","642,5","BA 55 D3"
"22.442592999999999","38.902996000000002","540902","Lamia","110","\N","place","Illyrikon","Thessalia","16","642,6","BA  55 C3"
"22.252089999999999","38.871397000000002","540827","Hypata","111","\N","place","Illyrikon","Thessalia","16","642,7","BA 55 C3"
"21.83866205","39.338613250000002","540947","Metropolis","112","\N","place","Illyrikon","Thessalia","16","642,8","BA 55 B2"
"21.782997999999999","39.568904000000003","541163","Trikke","113","\N","place","Illyrikon","Thessalia","16","642,9","BA 55 B1"
"21.676805999999999","39.436045","540792","Gomphoi","114","\N","place","Illyrikon","Thessalia","16","642,10","BA 55 B2"
"21.635859722399999","40.3771142776","0","Diokletianoupolis","116","\N","place","Illyrikon","Thessalia","16","642,12","BA 49 D3; Papazoglou, Villes 238-39, 440"
"22.351389333299998","39.3138696667","541042","Pharsalos","117","\N","place","Illyrikon","Thessalia","16","642,13","BA 55 C2"
"23.488506000000001","39.164020999999998","541104","Nesos Skiathos","120","\N","place","Illyrikon","Thessalia","16","643,3","BA 55 E2"
"23.720705925099999","39.1242161455","0","Skopelos","121","\N","place","Illyrikon","Thessalia","16","643,4","BA 55 F2 Peparethos"
"23.716667000000001","39.116667","541024","Nesos Peparethos","122","\N","place","Illyrikon","Thessalia","16","643,5","BA 55 F2"
"22.676530566699999","38.810499","541103","Skarpheia","124","\N","place","Illyrikon","Hellas","16","643,7","BA 55 D3"
"22.764982","38.626348999999998","540755","Elateia","125","\N","place","Illyrikon","Hellas","16","643,8","BA 55 D3"
"22.447412499999999","38.658144","540691","Boion","126","\N","place","Illyrikon","Hellas","16","643,9a","BA 55 C3"
"22.5585205","38.708669499999999","540743","Drymia","127","\N","place","Illyrikon","Hellas","16","643,9b","BA 55 D3"
"22.734938","38.511067500000003","540723","Daulis","128","\N","place","Illyrikon","Hellas","16","643,10","BA 55 D3"
"22.889322249599999","38.487678600300001","0","Chaironeia","129","\N","place","Illyrikon","Hellas","17","643,11","BA 55 D4"
"21.831267","38.399726000000001","540960","Naupactos","130","\N","place","Illyrikon","Hellas","17","643,12","BA 55 B4"
"22.501405500000001","38.481954500000001","540726","Delphoi","131","\N","place","Illyrikon","Hellas","17","643,13","BA 55 D4"
"22.374172000000002","38.518402999999999","540630","Amphissa","132","\N","place","Illyrikon","Hellas","17","644,1","BA 55 C3"
"22.673317999999998","38.5817245","541152","Tithora","133","\N","place","Illyrikon","Hellas","17","644,2","BA 55 D3"
"22.653227999999999","38.425796499999997","540626","Ambrosos","134","\N","place","Illyrikon","Hellas","17","644,3","BA 55 D4"
"22.626059000000001","38.375439","540642","Antikyra","135","\N","place","Illyrikon","Hellas","17","644,4","BA 55 D4"
"22.874961500000001","38.435374500000002","540907","Lebadeia","136","\N","place","Illyrikon","Hellas","17","644,5","BA 55 D4"
"22.957111999999999","38.391204000000002","540717","Koroneia","137","\N","place","Illyrikon","Hellas","17","644,6","BA 55 D4"
"22.739170999999999","38.395501000000003","541113","Stiris","138","\N","place","Illyrikon","Hellas","17","644,7","BA 55 D4"
"23.047878000000001","38.630640499999998","540986","Opous","139","\N","place","Illyrikon","Hellas","17","644,8","BA 55 E3"
"23.050610048100001","38.860339868600001","0","Aidepsos","141","\N","place","Illyrikon","Hellas","17","644,10","BA 55 E3"
"23.870000000000001","38.530000000000001","540775","Nesos Euboia","142","\N","place","Illyrikon","Hellas","17","644,11","BA 55 E3"
"23.451654999999999","38.497692999999998","540639","Anthedon","143","\N","place","Illyrikon","Hellas","17","644,12","BA 55 E4"
"23.169437236299999","38.615311416499999","0","Boumelita","144","\N","place","Illyrikon","Hellas","17","645,1","BA 55 E3"
"23.1528615","38.295831","541141","Thespiai","145","\N","place","Illyrikon","Hellas","17","645,2","BA 55 E4"
"23.103147","38.555374999999998","540823","Hyettos","146","\N","place","Illyrikon","Hellas","17","645,3a","BA 55 E3"
"22.967793","38.260886666700003","541146","Thisbai","147","\N","place","Illyrikon","Hellas","17","645,3b","BA 55 D4"
"23.317799000000001","38.319076000000003","541138","Thebai","148","\N","place","Illyrikon","Hellas","17","645,4","BA 55 E4"
"23.581173","38.300198333300003","580114","Tanagra","149","\N","place","Illyrikon","Hellas","17","645,5","BA 55 F4"
"21.614461285699999","38.347306721300001","0","Chalkis","150","\N","place","Illyrikon","Hellas","17","645,6","BA 55 B4"
"24.0617456867","38.394831410499997","0","Porthmos","151","\N","place","Illyrikon","Hellas","17","645,7","BA 55 G4"
"24.420380999999999","38.016540999999997","570336","Karystos","152","\N","place","Illyrikon","Hellas","17","645,8","BA 58 G1"
"23.273344999999999","38.221257000000001","541063","Plataiai","153","\N","place","Illyrikon","Hellas","17","645,9","BA 55 E4"
"23.2294868","38.1497606","570051","Aigosthena","154","\N","place","Illyrikon","Hellas","17","645,10","BA 58 E1"
"23.7239851818","37.972746545500002","579885","Athenai","155","\N","place","Illyrikon","Hellas","17","645,11","BA 58 F2"
"23.340163","37.985078000000001","570468","Megara","156","\N","place","Illyrikon","Hellas","17","645,12","BA 58 E2"
"23.197116000000001","38.084923000000003","570543","Pagai","157","\N","place","Illyrikon","Hellas","17","645,13","BA 58 E1"
"23.1367200653","37.928721804699997","0","Krommyon","158","\N","place","Illyrikon","Hellas","17","645,14","BA 58 E2"
"23.493718531500001","37.733848905499997","0","Aigina Nesos","159","\N","place","Illyrikon","Hellas","17","645,15","BA 58 F2"
"23.168834185200001","37.260727652","0","Pityoussa","160","\N","place","Illyrikon","Hellas","17","646,1","BA 58 E3"
"24.307388826299999","37.579455967800001","0","Kea","161","\N","place","Illyrikon","Hellas","17","646,2","BA 58 G2"
"24.429784000000001","37.412292999999998","570402","Kythnos","162","\N","place","Illyrikon","Hellas","17","646,3","BA 58 G3"
"25.271111000000001","37.393332999999998","599588","Delos","163","\N","place","Illyrikon","Hellas","17","646,4","BA 61 A3"
"24.565356000000001","38.902983999999996","541108","Skyros","164","\N","place","Illyrikon","Hellas","17","646,5","BA 55 H3"
"23.510000000000002","37.93","580101","Salamis Nesos","165","\N","place","Illyrikon","Hellas","17","646,6","BA 58 E2"
"22.879189","37.906033000000001","570182","Korinthos","166","\N","place","Illyrikon","Hellas","18","646,7","BA 58 D2"
"22.7108171","37.808903999999998","570504","Nemea","167","\N","place","Illyrikon","Hellas","18","646,8a","BA 58 D2"
"22.7168885","37.982298999999998","570668","Sikyon","168","\N","place","Illyrikon","Hellas","18","646,8b","BA 58 D2"
"22.377887000000001","38.129792500000001","570043","Aigeira","169","\N","place","Illyrikon","Hellas","18","646,9","BA 58 C1"
"22.081952000000001","38.252707000000001","570049","Aigion","170","\N","place","Illyrikon","Hellas","18","646,10","BA 58 C1"
"23.369604500000001","37.583948499999998","570482","Methana","171","\N","place","Illyrikon","Hellas","18","646,11","BA 58 E2"
"23.362444","37.496395","570756","Troizen","172","\N","place","Illyrikon","Hellas","18","647,1","BA 58 E3"
"23.160156350000001","37.6334625","570228","Epidauros","173","\N","place","Illyrikon","Hellas","18","647,2","BA 58 E2"
"23.243590999999999","37.385218000000002","570292","Hermione","174","\N","place","Illyrikon","Hellas","18","647,3","BA 58 E3"
"22.719463999999999","37.631560999999998","570106","Argos","175","\N","place","Illyrikon","Hellas","18","647,4","BA 58 D2"
"22.420672","37.455300999999999","570707","Tegea","176","\N","place","Illyrikon","Hellas","18","647,5","BA 58 C3"
"21.87884","37.710489000000003","570722","Thelpousa","177","\N","place","Illyrikon","Hellas","18","647,6","BA 58 B2"
"22.393259","37.618138000000002","570459","Mantineia","178","\N","place","Illyrikon","Hellas","18","647,7","BA 58 C2"
"22.5012053333","37.048558666700004","570406","Lakedaimon","179","\N","place","Illyrikon","Hellas","18","647,8","BA 58 C3 Sparta"
"22.706911999999999","36.992193","570263","Geronthrai","180","\N","place","Illyrikon","Hellas","18","647,9","BA 58 D4"
"22.280564500000001","37.029321000000003","570591","Pharis","181","\N","place","Illyrikon","Hellas","18","647,10","BA 58 C3"
"22.854554","36.730440000000002","570129","Asopos","182","\N","place","Illyrikon","Hellas","18","647,11","BA 58 D4"
"22.785366","36.794176","570058","Akreai","183","\N","place","Illyrikon","Hellas","18","647,12","BA 58 D4"
"21.839109000000001","37.39629","570598","Phigaleia","184","\N","place","Illyrikon","Hellas","18","647,13","BA 58 B3"
"21.920438999999998","37.175491000000001","570479","Messene","185","\N","place","Illyrikon","Hellas","18","647,14","BA 58 B3"
"21.927944","36.954171000000002","570371","Korone","186","\N","place","Illyrikon","Hellas","18","647,15","BA 58 B4"
"21.925628550700001","36.797385544999997","0","Asine","187","\N","place","Illyrikon","Hellas","18","647,16","BA 58 B4"
"21.705877999999998","36.816180000000003","570483","Mothone","188","\N","place","Illyrikon","Hellas","18","647,17","BA 58 B4"
"21.681159000000001","37.248527000000003","570397","Kyparissia","189","\N","place","Illyrikon","Hellas","18","648,1","BA 58 B3"
"21.364771152700001","37.886502461399999","0","Elis","190","\N","place","Illyrikon","Hellas","18","648,2","BA 58 A2"
"21.738517999999999","38.243265000000001","570567","Patrai","191","\N","place","Illyrikon","Hellas","18","648,3","BA 58 B1"
"20.59","38.200000000000003","530826","Nesos Kephallenia","193","\N","place","Illyrikon","Hellas","18","648,5","BA 54 B5"
"20.5596397266","38.454448006","0","Panormos","194","\N","place","Illyrikon","Hellas","18","648,6","BA 54 C5"
"20.760000000000002","37.770000000000003","531155","Nesos Zakynthos","195","\N","place","Illyrikon","Hellas","18","648,7","BA 54 inset"
"22.976826791699999","36.232449886399998","0","Nesos Kythera","196","\N","place","Illyrikon","Hellas","18","648,8","BA 58 inset"
"25.328619","37.445959000000002","599807","Nesos Mykonos","197","\N","place","Illyrikon","Hellas","18","648,9","BA 61 A3"
"21.007439680000001","37.252944922799998","0","Nesoi Strophades","198","\N","place","Illyrikon","Hellas","18","648,10","TIB Nikopolis 266"
"24.550000000000001","36.799999999999997","589868","Nesos Kimolos","199","\N","place","Illyrikon","Hellas","18","648,11","BA 58 H4"
"23.336396299699999","37.689568978799997","0","Nesos Dorousa","200","\N","place","Illyrikon","Hellas","19","648,12","BA 58 E2 Pityonesos Ins.; TIB Hellas 149"
"25.25","39.916666999999997","550693","Nesos Lemnos","201","\N","place","Illyrikon","Hellas","19","649,1","BA 56 A2"
"25.844443999999999","40.160832999999997","501439","Nesos Imbros","202","\N","place","Illyrikon","Hellas","19","649,2","BA 51 F4"
"24.9469437222","35.062720166699997","589796","Gortyna","204","\N","place","Illyrikon","Krete","19","649,4","BA 60 C2"
"25.283733999999999","34.987825999999998","589819","Einatos","205","\N","place","Illyrikon","Krete","19","649,5","BA 60 D3"
"25.402881000000001","35.060831999999998","589730","Bienna","206","\N","place","Illyrikon","Krete","19","649,6","BA 60 D2 Biannos"
"25.738750499999998","35.009528500000002","589807","Hierapydna","207","\N","place","Illyrikon","Krete","19","649,7","BA 60 E2"
"25.71726","35.190776","589900","Kamara","208","\N","place","Illyrikon","Krete","19","650,1","BA 60 E2 Lato pros Kamara"
"25.712645817799999","35.2935332825","0","Allyngos","209","\N","place","Illyrikon","Krete","19","650,2","BA 60 E2 Olous; RE Allyngos"
"25.388566999999998","35.319164999999998","589744","Chersonesos","210","\N","place","Illyrikon","Krete","19","650,3","BA 60 D2"
"25.370339999999999","35.212882999999998","589918","Lyktos","211","\N","place","Illyrikon","Krete","19","650,4","BA 60 D2"
"25.282439","35.080331000000001","589710","Arkadia","212","\N","place","Illyrikon","Krete","19","650,5","BA 60 D2 Arkades"
"25.163105999999999","35.297846999999997","589872","Knosos","213","\N","place","Illyrikon","Krete","19","650,6","BA 60 D2"
"24.639291","35.258740000000003","590063","Soubritos","214","\N","place","Illyrikon","Krete","19","650,7","BA 60 C2 Sybrita"
"24.840105999999999","35.302424000000002","590095","Oaxos","215","\N","place","Illyrikon","Krete","19","650,8","BA 60 C2 (W)Axos"
"24.663544000000002","35.33867","589772","Eleutherna","216","\N","place","Illyrikon","Krete","19","650,9","BA 60 C2"
"24.340886661799999","35.287789953699999","0","Lampe","217","\N","place","Illyrikon","Krete","19","650,10","BA 60 B2 Lappa"
"24.144976400000001","35.464770250000001","589704","Aptera","218","\N","place","Illyrikon","Krete","19","650,11","BA 60 B2"
"24.018689999999999","35.515774999999998","589886","Kydonia","219","\N","place","Illyrikon","Krete","19","650,12","BA 60 B1"
"23.660727000000001","35.495306999999997","589870","Kisamos","220","\N","place","Illyrikon","Krete","19","650,13","BA 60 A2"
"23.738348999999999","35.330337","589838","Kantanos","221","\N","place","Illyrikon","Krete","19","650,14","BA 60 A2"
"23.794048","35.283177999999999","589776","Elyros","222","\N","place","Illyrikon","Krete","19","650,15","BA 60 A2"
"23.789629999999999","35.247256999999998","589914","Lissos","223","\N","place","Illyrikon","Krete","19","650,16","BA 60 A2"
"24.0775338664","35.200915832299998","0","Phoinike","224","\N","place","Illyrikon","Krete","19","651,1a","BA 60 B2 Phoinix"
"24.060290999999999","35.227460000000001","589705","Araden","225","\N","place","Illyrikon","Krete","19","651,1b","BA 60 B2"
"24.083333","34.833333000000003","589858","Kaudos Nesos","226","\N","place","Illyrikon","Krete","19","651,2","BA 60 B3"
"20.735952999999999","39.023389000000002","531013","Nikopolis","228","\N","place","Illyrikon","Palaia Epeiros","19","651,4","BA 54 C3"
"20.787766999999999","39.546432000000003","530843","Dodone","229","\N","place","Illyrikon","Palaia Epeiros","19","651,5","BA 54 C2"
"20.608378959300001","39.337375540300002","0","Euroia Akniou","230","\N","place","Illyrikon","Palaia Epeiros","19","651,6-7","BA 54 C3"
